ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_age_ms,depth_m,depth_mode,esc_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-27T12:33:01.060Z,0.5.1,false,0.00,15.30,false,false,false,false,false,none,1000,1531,1000,1502,1607,1457,0.0,245.9,1660,false,18881,0.88,run,1621,false,true,1469,225.6,236.6,154320,38.846478,-77.162071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.40,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1536,10,1856487826,0.5,168,,,,,false,,
2026-06-27T12:33:02.060Z,0.5.1,false,0.00,15.32,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,245.9,1660,false,19879,0.88,run,1621,false,true,1469,221.6,232.6,154328,38.846478,-77.162079,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.41,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,5,true,1537,10,1856487826,0.4,169,,,,,false,,
2026-06-27T12:33:02.977Z,0.5.1,false,0.00,15.34,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,245.9,1660,false,798,0.88,run,1621,false,true,1469,217.4,228.4,154340,38.846478,-77.162079,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.65,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1537,11,1856487826,0.2,170,,,,,false,,
2026-06-27T12:33:04.010Z,0.5.1,false,0.00,15.34,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,245.9,1660,false,1822,0.88,run,1621,false,true,1469,214.6,225.6,154336,38.846474,-77.162079,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.55,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1537,11,1856487826,0.3,171,,,,,false,,
2026-06-27T12:33:05.060Z,0.5.1,false,0.00,15.32,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,245.9,1660,false,2875,0.88,run,1621,false,true,1469,213.8,224.8,154328,38.846474,-77.162079,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.30,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1537,11,1856487826,0.3,172,,,,,false,,
2026-06-27T12:33:06.044Z,0.5.1,false,0.00,15.30,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,245.9,1660,false,3869,0.88,run,1621,false,true,1469,213.8,224.8,154336,38.846474,-77.162079,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.98,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1537,11,1856487826,0.4,173,,,,,false,,
2026-06-27T12:33:07.077Z,0.5.1,false,0.00,15.33,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,245.9,1660,false,4887,0.88,run,1621,false,true,1469,213.5,224.5,154312,38.846474,-77.162079,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.28,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,5,true,1537,11,1856487826,0.5,174,,,,,false,,
2026-06-27T12:33:07.994Z,0.5.1,false,0.00,15.33,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,245.9,1660,false,5814,0.88,run,1621,false,true,1469,214.0,225.0,154296,38.846474,-77.162086,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.81,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,8,true,1537,11,1856487826,0.6,175,,,,,false,,
2026-06-27T12:33:09.047Z,0.5.1,false,0.00,15.33,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,245.9,1660,false,6864,0.88,run,1621,false,true,1469,214.3,225.3,154328,38.846470,-77.162086,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.32,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1537,11,1856487826,0.6,176,,,,,false,,
2026-06-27T12:33:10.078Z,0.5.1,false,0.00,15.34,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,245.9,1660,false,7889,0.88,run,1621,false,true,1469,215.0,226.0,154328,38.846470,-77.162086,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.77,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1537,11,1856487826,0.6,177,,,,,false,,
