ts,v,approach_lock,audio_ok,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_age_ms,depth_mode,depth_raw_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mission_active,mode,nav_on,pid_kd,pid_kp,port_us,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,stbd_us,uptime,wp_bearing,wp_count,wp_dist_m,wp_idx,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-07-03T12:26:59.138Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,162.3,173.9,134304,38.846478,-77.162071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,24.03,false,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,6,true,1503,12,2098578137,0.1,1500,602,,0,,0,,,false,,
2026-07-03T12:27:00.122Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1001,-0.6,296.8,1660,false,,off,,false,true,1500,161.8,173.4,134304,38.846478,-77.162071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.87,false,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,6,true,1503,12,2098578137,0.1,1500,603,,0,,0,,,false,,
2026-07-03T12:27:01.122Z,0.7.5,false,false,15.10,false,false,false,false,false,none,1000,1497,1000,1500,1509,1001,-0.6,296.8,1660,false,,off,,false,true,1500,161.4,173.0,134304,38.846478,-77.162071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.25,false,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,7,true,1503,12,2098578137,0.1,1500,604,,0,,0,,,false,,
2026-07-03T12:27:02.105Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,160.1,171.7,134304,38.846478,-77.162071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.83,false,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,4,true,1503,12,2098578137,0.1,1500,605,,0,,0,,,false,,
2026-07-03T12:27:03.123Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,159.0,170.6,134280,38.846478,-77.162071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.62,false,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,8,true,1503,12,2098578137,0.1,1500,606,,0,,0,,,false,,
2026-07-03T12:27:04.106Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,158.4,170.0,134304,38.846478,-77.162071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.15,true,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,3,true,1503,12,2098578137,0.1,1500,607,188.2,6,55.3,0,38.845985,-77.162163,true,,
2026-07-03T12:27:05.106Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,157.3,168.9,134284,38.846478,-77.162071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.89,true,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,7,true,1503,12,2098578137,0.1,1500,608,188.2,6,55.3,0,38.845985,-77.162163,true,,
2026-07-03T12:27:06.106Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1001,-0.6,296.8,1660,false,,off,,false,true,1500,156.4,168.0,134284,38.846478,-77.162071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.58,true,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,2,true,1503,12,2098578137,0.1,1500,609,188.2,6,55.3,0,38.845985,-77.162163,true,,
2026-07-03T12:27:07.123Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,155.8,167.4,134276,38.846474,-77.162071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,24.18,true,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,2,true,1503,12,2098578137,0.2,1500,610,188.3,6,54.9,0,38.845985,-77.162163,true,,
2026-07-03T12:27:08.123Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,154.8,166.4,134280,38.846474,-77.162071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.75,true,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,0,true,1503,12,2098578137,0.1,1500,611,188.3,6,54.9,0,38.845985,-77.162163,true,,
