ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_set
2026-06-14T10:39:08.923Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1399,1098,0.0,204.4,1720,false,off,1500,false,true,214.5,225.5,205404,38.846493,-77.162018,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,15.62,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,6,true,1465,12,4204574309,0.9,185,false
2026-06-14T10:39:09.973Z,test_29-pool2.6-magcal2,true,0.00,15.89,false,false,false,false,false,none,1000,1000,1500,1399,1000,0.0,204.4,1720,false,off,1500,false,true,218.2,229.2,205436,38.846489,-77.162018,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,20.01,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1465,12,4204574309,0.7,186,false
2026-06-14T10:39:10.974Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1401,1000,0.0,207.2,1720,false,off,1500,false,true,217.7,228.7,205424,38.846485,-77.162018,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,22.02,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,4,true,1466,12,4204574309,0.8,187,false
2026-06-14T10:39:11.890Z,test_29-pool2.6-magcal2,true,0.00,15.89,false,false,false,false,false,none,1000,1000,1500,1407,1000,0.0,210.7,1720,false,off,1500,false,true,215.6,226.6,205388,38.846481,-77.162018,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,22.08,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,8,true,1468,12,4204574309,0.7,188,false
2026-06-14T10:39:12.907Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1439,1000,0.0,214.4,1720,false,off,1500,false,true,212.9,223.9,205420,38.846478,-77.162025,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,18.95,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,6,true,1479,12,4204574309,0.8,189,false
2026-06-14T10:39:13.974Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1500,1000,0.0,214.4,1720,false,off,1500,false,true,210.2,221.2,205412,38.846478,-77.162025,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.60,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,6,true,1500,12,4204574309,0.6,190,false
2026-06-14T10:39:14.891Z,test_29-pool2.6-magcal2,true,0.00,15.89,false,false,false,false,false,none,1000,1000,1500,1644,1406,0.0,214.4,1720,false,off,1604,false,true,207.4,218.4,205408,38.846474,-77.162025,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.76,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,7,true,1548,12,4204574309,0.5,191,false
2026-06-14T10:39:15.891Z,test_29-pool2.6-magcal2,true,0.00,15.67,false,false,false,false,false,none,1000,1000,1500,1681,1570,0.0,202.9,1720,false,off,1661,false,true,203.3,214.3,205412,38.846470,-77.162025,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.51,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,5,true,1561,12,4204574309,0.7,192,false
2026-06-14T10:39:16.908Z,test_29-pool2.6-magcal2,true,0.00,15.74,false,false,false,false,false,none,1000,1000,1500,1681,1570,0.0,200.0,1720,false,off,1661,false,true,199.0,210.0,205396,38.846470,-77.162025,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,21.32,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,9,true,1561,12,4204574309,0.9,193,false
2026-06-14T10:39:17.958Z,test_29-pool2.6-magcal2,true,0.00,15.77,false,false,false,false,false,none,1000,1000,1500,1695,1570,0.0,204.1,1720,false,off,1662,false,true,196.7,207.7,205392,38.846462,-77.162033,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,21.20,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,2,true,1566,12,4204574309,1.4,194,false
