ts,v,approach_lock,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-28T18:03:59.035Z,0.6.3,false,false,0.00,15.20,false,false,false,false,false,none,1000,1571,1000,1500,2000,1526,0.2,66.6,1660,false,off,1656,false,true,1429,64.0,74.8,145076,38.846241,-77.162071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.73,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1670,11,129474922,2.0,440,180.0,24.6,38.846020,-77.162071,true,38.846226,-77.162109
2026-06-28T18:04:00.035Z,0.6.3,false,false,0.00,15.02,false,false,false,false,false,none,1000,1571,1000,1500,2000,1627,0.3,65.4,1660,false,off,1692,false,true,1429,62.3,73.0,145076,38.846241,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.27,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1670,11,129474922,1.5,441,181.6,24.6,38.846020,-77.162071,true,38.846226,-77.162109
2026-06-28T18:04:01.035Z,0.6.3,false,false,0.00,15.14,false,false,false,false,false,none,1000,1571,1000,1500,2000,1627,0.4,68.4,1660,false,off,1692,false,true,1429,73.9,84.5,145076,38.846245,-77.162056,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.26,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1670,12,129474922,1.3,442,183.1,25.1,38.846020,-77.162071,true,38.846226,-77.162109
2026-06-28T18:04:02.052Z,0.6.3,false,false,0.00,15.05,false,false,false,false,false,none,1000,1571,1000,1499,2000,1627,0.4,85.3,1660,false,off,1692,false,true,1429,97.4,108.0,145076,38.846245,-77.162041,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.28,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1670,12,129474922,1.2,443,186.1,25.2,38.846020,-77.162071,true,38.846226,-77.162109
2026-06-28T18:04:03.052Z,0.6.3,false,false,0.00,15.20,false,false,false,false,false,none,1000,1571,1000,1500,1572,1000,0.4,120.1,1660,false,off,1500,false,true,1429,125.0,135.6,145076,38.846241,-77.162033,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.00,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,2,true,1524,12,129474922,1.4,444,187.7,24.8,38.846020,-77.162071,true,38.846226,-77.162109
2026-06-28T18:04:04.069Z,0.6.3,false,false,0.00,15.20,false,false,false,false,false,none,1000,1571,1000,1500,1572,1000,0.4,128.4,1660,false,off,1500,false,true,1429,155.1,165.6,145076,38.846237,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.64,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,1,true,1524,12,129474922,0.9,445,190.9,24.6,38.846020,-77.162071,true,38.846226,-77.162109
2026-06-28T18:04:05.036Z,0.6.3,false,false,0.00,15.20,false,false,false,false,false,none,1000,1571,1000,1500,1572,1000,0.4,128.4,1660,false,off,1500,false,true,1429,171.2,181.8,145076,38.846237,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.97,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1524,12,129474922,0.7,446,190.9,24.6,38.846020,-77.162071,true,38.846226,-77.162109
2026-06-28T18:04:06.036Z,0.6.3,false,false,0.00,15.20,false,false,false,false,false,none,1000,1571,1000,1500,1572,1000,0.4,128.4,1660,false,off,1500,false,true,1429,181.5,192.0,145076,38.846233,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.70,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,2,true,1524,12,129474922,0.6,447,192.5,24.3,38.846020,-77.162071,true,38.846226,-77.162109
2026-06-28T18:04:07.036Z,0.6.3,false,false,0.00,15.20,false,false,false,false,false,none,1000,1571,1000,1500,1572,1000,0.4,128.4,1660,false,off,1500,false,true,1429,187.5,198.1,145080,38.846233,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.23,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1524,12,129474922,0.4,448,192.5,24.3,38.846020,-77.162071,true,38.846226,-77.162109
2026-06-28T18:04:08.053Z,0.6.3,false,false,-0.00,15.21,false,false,false,false,false,none,1000,1571,1000,1500,1572,1000,0.4,128.4,1660,false,off,1500,false,true,1429,194.2,204.8,145080,38.846230,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.77,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1524,12,129474922,0.4,449,192.7,23.9,38.846020,-77.162071,true,38.846226,-77.162109
2026-06-28T18:04:09.037Z,0.6.3,false,false,-0.00,15.20,false,false,false,false,false,none,1000,1571,1000,1500,1572,1000,0.4,128.4,1660,false,off,1500,false,true,1429,196.6,207.2,145080,38.846226,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.98,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1524,12,129474922,0.4,450,193.1,23.5,38.846020,-77.162071,true,38.846226,-77.162109
2026-06-28T18:04:10.070Z,0.6.3,false,false,0.00,15.20,false,false,false,false,false,none,1000,1571,1000,1500,1572,1000,0.4,128.4,1660,false,off,1500,false,true,1429,199.7,210.3,145072,38.846226,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.14,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1524,12,129474922,0.3,451,275.5,10.0,38.846237,-77.162125,true,,
2026-06-28T18:04:11.037Z,0.6.3,false,false,0.00,15.21,false,false,false,false,false,none,1000,1571,1000,1500,1572,1000,0.4,128.4,1660,false,off,1500,false,true,1429,201.7,212.3,145080,38.846226,-77.162003,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.67,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1524,11,129474922,0.4,452,194.0,5.7,38.846176,-77.162018,true,,
2026-06-28T18:04:12.037Z,0.6.3,false,false,0.00,15.20,false,false,false,false,false,none,1000,1571,1000,1500,1572,1000,0.4,128.4,1660,false,off,1500,false,true,1429,203.9,214.5,145076,38.846222,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.01,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,5,true,1524,11,129474922,0.4,453,200.6,15.0,38.846096,-77.162071,true,,
2026-06-28T18:04:13.037Z,0.6.3,false,false,0.00,15.20,false,false,false,false,false,none,1000,1571,1000,1500,1572,1000,0.4,128.4,1660,false,off,1500,false,true,1429,205.6,216.1,145076,38.846222,-77.162003,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.82,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1524,11,129474922,0.2,454,210.1,23.6,38.846039,-77.162140,true,,
