ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-14T10:46:01.514Z,test_29-pool2.6-magcal2,true,0.00,15.72,false,false,false,false,false,none,1000,2000,1500,1609,1000,0.2,292.7,1660,false,off,1676,false,true,295.0,305.8,205412,38.846180,-77.162186,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,18.19,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,4,true,1670,12,4204574309,1.0,598,92.2,29.8,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:46:02.864Z,test_29-pool2.6-magcal2,true,0.00,15.73,false,false,false,false,false,none,1000,2000,1500,1609,1000,0.2,309.4,1660,false,off,1675,false,true,318.0,328.8,205388,38.846184,-77.162193,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,21.65,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,8,true,1663,12,4204574309,1.1,599,93.6,30.4,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:46:03.580Z,test_29-pool2.6-magcal2,true,0.00,15.72,false,false,false,false,false,none,1000,2000,1500,1609,1000,0.2,327.4,1660,false,off,1676,false,true,334.2,345.0,205412,38.846191,-77.162193,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,21.08,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1670,12,4204574309,1.2,600,94.6,30.5,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:46:04.897Z,test_29-pool2.6-magcal2,true,-0.00,15.77,false,false,false,false,false,none,1000,2000,1500,1609,1000,0.2,344.3,1660,false,off,1665,false,true,10.9,21.7,205188,38.846195,-77.162193,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,23.04,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,2,true,1562,12,4204574309,1.2,601,95.7,30.5,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:46:05.514Z,test_29-pool2.6-magcal2,true,0.00,15.72,false,false,false,false,false,none,1000,2000,1500,1609,1000,0.2,1.8,1660,false,off,1671,false,true,24.7,35.5,205396,38.846203,-77.162193,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,22.64,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,4,true,1622,12,4204574309,1.4,602,97.5,30.6,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:46:06.614Z,test_29-pool2.6-magcal2,true,0.00,15.70,false,false,false,false,false,none,1000,2000,1500,1609,1000,-0.1,24.5,1660,false,off,1660,false,true,32.4,43.5,205408,38.846207,-77.162186,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,29.82,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,7,true,1504,12,4204574309,1.7,603,97.6,30.0,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:46:07.548Z,test_29-pool2.6-magcal2,true,0.00,15.71,false,false,false,false,false,none,1000,2000,1500,1609,1000,-0.1,35.5,1660,false,off,1651,false,true,55.9,67.0,205400,38.846210,-77.162178,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,24.68,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,5,true,1403,12,4204574309,1.5,604,98.5,29.4,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:46:08.581Z,test_29-pool2.6-magcal2,true,0.00,15.75,false,false,false,false,false,none,1000,2000,1500,1609,1000,-0.1,48.7,1660,false,off,1676,false,true,62.4,73.5,205400,38.846214,-77.162170,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,15.45,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,9,true,1670,12,4204574309,1.6,605,100.6,28.9,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:46:09.581Z,test_29-pool2.6-magcal2,true,0.00,15.78,false,false,false,false,false,none,1000,2000,1500,1609,1000,-0.1,50.4,1660,false,off,1668,false,true,51.3,62.5,205416,38.846214,-77.162163,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,26.95,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,5,true,1585,12,4204574309,1.7,606,100.8,28.2,38.846169,-77.161842,true,38.846176,-77.162178
2026-06-14T10:46:10.448Z,test_29-pool2.6-magcal2,true,0.00,15.75,false,false,false,false,false,none,1000,2000,1500,1609,1000,-0.1,62.2,1660,false,off,1655,false,true,62.2,73.4,205416,38.846218,-77.162148,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,30.38,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,7,true,1443,12,4204574309,1.6,607,102.2,27.0,38.846169,-77.161842,true,38.846176,-77.162178
