ts,v,approach_lock,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_cycle,pump_manual,pump_phase,pump_phase_ms,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-28T21:12:31.871Z,0.6.5,,,0.00,15.06,,,,,false,,,,,,,,,105.7,,,,1660,false,true,,105.8,,,38.846695,-77.167275,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.8,642,,15.9,,,true,,
2026-06-28T21:12:32.872Z,0.6.5,,,0.00,15.07,,,,,false,,,,,,,,,104.3,,,,1660,false,true,,105.2,,,38.846691,-77.167267,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.8,643,,15.1,,,true,,
2026-06-28T21:12:33.873Z,0.6.5,,,0.00,15.11,,,,,false,,,,,,,,,105.0,,,,1660,false,true,,106.1,,,38.846691,-77.167252,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.8,644,,13.9,,,true,,
2026-06-28T21:12:34.874Z,0.6.5,,,0.00,15.06,,,,,false,,,,,,,,,103.1,,,,1660,false,true,,106.5,,,38.846691,-77.167244,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.8,645,,13.3,,,true,,
2026-06-28T21:12:35.875Z,0.6.5,,,0.00,15.08,,,,,false,,,,,,,,,103.7,,,,1660,false,true,,106.8,,,38.846687,-77.167229,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.8,646,,11.9,,,true,,
2026-06-28T21:12:36.876Z,0.6.5,,,0.00,15.13,,,,,false,,,,,,,,,102.2,,,,1660,false,true,,106.2,,,38.846687,-77.167221,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.7,647,,11.2,,,true,,
2026-06-28T21:12:37.876Z,0.6.5,,,0.00,15.08,,,,,false,,,,,,,,,104.7,,,,1660,false,true,,105.5,,,38.846683,-77.167213,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.8,648,,10.5,,,true,,
2026-06-28T21:12:38.876Z,0.6.5,,,0.00,15.07,,,,,false,,,,,,,,,106.2,,,,1660,false,true,,106.1,,,38.846683,-77.167198,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1509,12,,1.8,649,,9.2,,,true,,
2026-06-28T21:12:39.876Z,0.6.5,,,0.00,15.07,,,,,false,,,,,,,,,104.9,,,,1660,false,true,,106.0,,,38.846680,-77.167191,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1507,12,,1.8,650,,8.5,,,true,,
2026-06-28T21:12:40.876Z,0.6.5,,,0.00,15.08,,,,,false,,,,,,,,,106.9,,,,1662,false,true,,105.2,,,38.846680,-77.167183,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1523,12,,1.9,651,,7.9,,,true,,
