ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-27T19:41:06.461Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1556,1000,4.4,281.8,1660,false,off,1500,false,true,1500,248.2,254.8,153812,38.846897,-77.167877,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.76,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1519,10,1755351024,0.0,191,,,,,false,,
2026-06-27T19:41:07.495Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1556,1000,4.4,281.8,1660,false,off,1500,false,true,1500,244.9,251.5,153812,38.846897,-77.167877,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,24.72,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,10,true,1519,10,1755351024,0.1,192,,,,,false,,
2026-06-27T19:41:08.478Z,0.5.2,false,0.00,15.25,false,false,false,false,false,none,1000,1491,1000,1500,1556,1000,4.4,281.8,1660,false,off,1500,false,true,1500,241.1,247.6,153812,38.846897,-77.167870,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.76,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1519,10,1755351024,0.2,193,,,,,false,,
2026-06-27T19:41:09.478Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1556,1000,4.4,281.8,1660,false,off,1500,false,true,1500,237.6,244.1,153800,38.846893,-77.167870,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.70,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,9,true,1519,10,1755351024,0.1,194,,,,,false,,
2026-06-27T19:41:10.462Z,0.5.2,false,-0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1556,1000,4.4,281.8,1660,false,off,1500,false,true,1500,234.2,240.7,153780,38.846893,-77.167870,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,24.14,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1519,10,1755351024,0.0,195,,,,,false,,
2026-06-27T19:41:11.479Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1556,1000,4.4,281.8,1660,false,off,1500,false,true,1500,230.9,237.4,153804,38.846893,-77.167870,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.99,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1519,10,1755351024,0.1,196,,,,,false,,
2026-06-27T19:41:12.478Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1556,1000,4.4,281.8,1660,false,off,1500,false,true,1500,227.7,234.2,153788,38.846889,-77.167862,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.91,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1519,10,1755351024,0.1,197,112.9,101.9,38.846531,-77.166779,true,,
2026-06-27T19:41:13.462Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1556,1000,4.4,281.8,1660,false,off,1500,false,true,1500,225.1,231.7,153780,38.846889,-77.167862,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,24.39,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,5,true,1519,10,1755351024,0.0,198,112.9,101.9,38.846531,-77.166779,true,,
2026-06-27T19:41:14.462Z,0.5.2,false,-0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1556,1000,4.4,281.8,1660,false,off,1500,false,true,1500,222.7,229.2,153776,38.846889,-77.167862,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,25.62,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1519,10,1755351024,0.1,199,112.9,101.9,38.846531,-77.166779,true,,
2026-06-27T19:41:15.462Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1247,1000,4.4,281.8,1660,false,off,1500,false,true,1500,219.9,226.5,153572,38.846889,-77.167862,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,25.17,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,10,true,1413,10,1755351024,0.2,200,112.9,101.9,38.846531,-77.166779,true,,
