ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_mode,ch_reverse,ch_rudder,ch_throttle,course,cruise_us,deck_on,depth_age_ms,depth_m,depth_mode,esc_us,failsafe_ack,gps_fix,gps_simulated,heading,heap,lat,lon,mag_baseline_uT,mag_cal_progress,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-05T15:32:08.392Z,test_29-pool2.1-magcal,true,0.00,16.05,false,false,false,false,false,none,1000,1000,1500,1398,1001,121.4,1620,false,13297,3.05,run,1500,false,true,false,140.6,202436,38.785343,-76.221939,27.70,100,done,138,true,true,-54.67,1.05,-34.80,30.26,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,9,true,1465,12,1557232302,0.4,765,33.3,50.3,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:09.425Z,test_29-pool2.1-magcal,true,0.00,16.05,false,false,false,false,false,none,1000,1000,1500,1399,1001,121.4,1620,false,14321,3.05,run,1500,false,true,false,136.9,202592,38.785343,-76.221931,27.70,100,done,138,true,true,-54.67,1.05,-34.80,30.37,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,9,true,1465,12,1557232302,0.3,766,32.6,50.0,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:10.342Z,test_29-pool2.1-magcal,true,0.00,15.68,false,false,false,false,false,none,1000,1000,1203,1399,1001,121.4,1620,false,15242,3.05,run,1294,false,true,false,138.8,202584,38.785343,-76.221931,27.70,100,done,138,true,true,-54.67,1.05,-34.80,35.09,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,6,true,1465,12,1557232302,0.3,767,32.6,50.0,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:11.409Z,test_29-pool2.1-magcal,true,0.00,16.03,false,false,false,false,false,none,1000,1000,1500,1399,1002,121.4,1620,false,16297,3.05,run,1500,false,true,false,136.5,202584,38.785339,-76.221931,27.70,100,done,138,true,true,-54.67,1.05,-34.80,32.32,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,5,true,1465,12,1557232302,0.4,768,32.5,50.3,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:12.509Z,test_29-pool2.1-magcal,true,-0.00,16.00,false,false,false,false,false,none,1000,1000,1498,1399,2000,121.4,1620,false,17404,3.05,run,1706,false,true,false,132.6,202584,38.785339,-76.221931,27.70,100,done,138,true,true,-54.67,1.05,-34.80,30.37,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1465,12,1557232302,0.5,769,32.5,50.3,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:13.343Z,test_29-pool2.1-magcal,true,0.00,15.97,false,false,false,false,false,none,1000,1000,1498,1399,2000,121.4,1620,false,18225,3.05,run,1706,false,true,false,130.8,202568,38.785339,-76.221931,27.70,100,done,138,true,true,-54.67,1.05,-34.80,28.11,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,9,true,1465,12,1557232302,0.1,770,32.5,50.3,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:14.343Z,test_29-pool2.1-magcal,true,-0.00,16.04,false,false,false,false,false,none,1000,1000,1308,1399,1002,121.4,1620,false,19239,3.05,run,1312,false,true,false,128.5,202576,38.785339,-76.221931,27.70,100,done,138,true,true,-54.67,1.05,-34.80,27.43,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,5,true,1465,12,1557232302,0.4,771,32.5,50.3,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:15.393Z,test_29-pool2.1-magcal,true,0.00,15.64,false,false,false,false,false,none,1000,1000,1224,1399,1002,121.4,1620,false,281,3.26,run,1294,false,true,false,131.4,202596,38.785339,-76.221931,27.70,100,done,138,true,true,-54.67,1.05,-34.80,23.47,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,9,true,1465,12,1557232302,0.1,772,32.5,50.3,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:16.393Z,test_29-pool2.1-magcal,true,0.00,16.01,false,false,false,false,false,none,1000,1000,1500,1399,2000,171.4,1620,false,1281,3.26,run,1706,false,true,false,127.5,202584,38.785336,-76.221931,27.70,100,done,138,true,true,-54.67,1.05,-34.80,22.37,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,6,true,1465,12,1557232302,0.6,773,32.3,50.7,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:17.627Z,test_29-pool2.1-magcal,true,0.00,16.03,false,false,false,false,false,none,1000,1000,1499,1399,1000,171.4,1620,false,2509,3.26,run,1500,false,true,false,121.1,202600,38.785336,-76.221931,27.70,100,done,138,true,true,-54.67,1.05,-34.80,27.60,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1465,12,1557232302,0.3,774,32.3,50.7,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:18.327Z,test_29-pool2.1-magcal,true,0.00,16.04,false,false,false,false,false,none,1000,1000,1500,1399,1000,171.4,1620,false,3225,3.26,run,1500,false,true,false,119.8,202584,38.785336,-76.221931,27.70,100,done,138,true,true,-54.67,1.05,-34.80,21.59,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,2,true,1465,12,1557232302,0.2,775,32.3,50.7,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:19.377Z,test_29-pool2.1-magcal,true,0.00,16.04,false,false,false,false,false,none,1000,1000,1341,1399,1000,171.4,1620,false,4242,3.26,run,1360,false,true,false,118.7,202592,38.785336,-76.221924,27.70,100,done,138,true,true,-54.67,1.05,-34.80,20.19,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1465,12,1557232302,0.2,776,31.7,50.3,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:20.377Z,test_29-pool2.1-magcal,true,0.00,16.03,false,false,false,false,false,none,1000,1000,1500,1399,1000,171.4,1620,false,5273,3.26,run,1500,false,true,false,115.9,202592,38.785336,-76.221924,27.70,100,done,138,true,true,-54.67,1.05,-34.80,19.37,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,2,true,1465,12,1557232302,0.2,777,31.7,50.3,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:21.410Z,test_29-pool2.1-magcal,true,-0.00,15.85,false,false,false,false,false,none,1000,1000,1354,1399,1000,171.4,1620,false,6297,3.26,run,1357,false,true,false,114.2,202580,38.785332,-76.221924,27.70,100,done,138,true,true,-54.67,1.05,-34.80,18.61,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1465,12,1557232302,0.1,778,31.4,50.7,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:22.327Z,test_29-pool2.1-magcal,true,0.00,16.02,false,false,false,false,false,none,1000,1000,1508,1399,1000,191.9,1620,false,7218,3.26,run,1500,false,true,false,112.1,202572,38.785332,-76.221931,27.70,100,done,138,true,true,-54.67,1.05,-34.80,18.41,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,9,true,1465,12,1557232302,0.4,779,32.1,51.1,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:23.311Z,test_29-pool2.1-magcal,true,0.00,16.03,false,false,false,false,false,none,1000,1000,1807,1399,1000,207.6,1620,false,8199,3.26,run,1500,false,true,false,112.6,202548,38.785332,-76.221931,27.70,100,done,138,true,true,-54.67,1.05,-34.80,18.67,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1465,12,1557232302,0.4,780,32.1,51.1,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:24.378Z,test_29-pool2.1-magcal,true,0.00,16.04,false,false,false,false,false,none,1000,1000,2000,1400,1000,212.8,1620,false,9271,3.26,run,1500,false,true,false,114.2,202580,38.785328,-76.221931,27.70,100,done,138,true,true,-54.67,1.05,-34.80,19.61,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,4,true,1466,12,1557232302,0.5,781,31.7,51.4,38.785721,-76.221619,true,38.785297,-76.221962
